track_id,track_name,artist_name,genre,energy,danceability,valence,Human_Vibe_Tag,Discovery_Reason,Data_Source
TRK-BESPOKE-0000,Bespoke Track 0,Selected Artist,Hip-Hop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0001,Bespoke Track 1,Selected Artist,Hip-Hop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0002,Bespoke Track 2,Selected Artist,R&B,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0003,Bespoke Track 3,Selected Artist,R&B,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0004,Bespoke Track 4,Selected Artist,R&B,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0005,Bespoke Track 5,Selected Artist,R&B,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0006,Bespoke Track 6,Selected Artist,Pop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0007,Bespoke Track 7,Selected Artist,Hip-Hop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0008,Bespoke Track 8,Selected Artist,Pop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0009,Bespoke Track 9,Selected Artist,R&B,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
TRK-BESPOKE-0010,Bespoke Track 10,Selected Artist,Hip-Hop,0.75,0.75,0.5,Hand-Mapped Vibe,Curated for manual audit phase.,Manual Curation (Bespoke)
